input 0, model gemma3:4b, multimodal True, temp 0, question_time 5.0179431438446045, answer /gpt-mission-planner/app/gpt_outputs/tmpqj3t0mk4, ret 5.364554405212402, answer /gpt-mission-planner/app/gpt_outputs/tmpsd_9yoga, ret 5.73991322517395, answer /gpt-mission-planner/app/gpt_outputs/tmp_08pj6tx, ret 5.761718034744263, answer /gpt-mission-planner/app/gpt_outputs/tmpsvlwd_0m, ret 1.2565727233886719, answer /gpt-mission-planner/app/gpt_outputs/tmphp2mr3f_, ret 1.0821406841278076, answer /gpt-mission-planner/app/gpt_outputs/tmprx3rfd2i, ret 0.9518718719482422, answer /gpt-mission-planner/app/gpt_outputs/tmpy6198nlf, ret 0.4638633728027344, answer /gpt-mission-planner/app/gpt_outputs/tmpctp9x8d8, ret 0.6822960376739502, answer /gpt-mission-planner/app/gpt_outputs/tmpdwb117l3, ret 0.6032845973968506, answer /gpt-mission-planner/app/gpt_outputs/tmpvgi08pp5, ret 0.8664243221282959, answer /gpt-mission-planner/app/gpt_outputs/tmpgrpwz_bk, succ False
input 2, model llama3.2:3b, multimodal False, temp 1.0, question_time 4.041985988616943, answer /gpt-mission-planner/app/gpt_outputs/tmpogv9ello, ret 1.9273056983947754, answer /gpt-mission-planner/app/gpt_outputs/tmpufm6z20b, ret 1.949493646621704, answer /gpt-mission-planner/app/gpt_outputs/tmp34ozd_42, ret 2.950857639312744, answer /gpt-mission-planner/app/gpt_outputs/tmpfanqrsbc, ret 3.0097336769104004, answer /gpt-mission-planner/app/gpt_outputs/tmpd1u903_1, ret 2.945894241333008, answer /gpt-mission-planner/app/gpt_outputs/tmpmi752eam, ret 4.1848509311676025, answer /gpt-mission-planner/app/gpt_outputs/tmp8rplu_01, ret 5.319216966629028, answer /gpt-mission-planner/app/gpt_outputs/tmpojgdv872, ret 4.933854818344116, answer /gpt-mission-planner/app/gpt_outputs/tmp_v3ggngb, ret 1.9864280223846436, answer /gpt-mission-planner/app/gpt_outputs/tmpjip52e7z, ret 1.9621479511260986, answer /gpt-mission-planner/app/gpt_outputs/tmp86wy_o0w, succ False
input 3, model llama3.2:3b, multimodal False, temp 1.0, question_time 5.308050870895386, answer /gpt-mission-planner/app/gpt_outputs/tmp3bxtt1ay, ret 4.336994171142578, answer /gpt-mission-planner/app/gpt_outputs/tmp2l44ep_e, ret 4.296344995498657, answer /gpt-mission-planner/app/gpt_outputs/tmp8v_jopdo, ret 4.6998631954193115, answer /gpt-mission-planner/app/gpt_outputs/tmp_e5ee_eh, ret 4.842817544937134, answer /gpt-mission-planner/app/gpt_outputs/tmp8vubzb__, ret 4.9621264934539795, answer /gpt-mission-planner/app/gpt_outputs/tmpg_37mwxv, ret 2.46514630317688, answer /gpt-mission-planner/app/gpt_outputs/tmp18siozgj, ret 2.558553457260132, answer /gpt-mission-planner/app/gpt_outputs/tmpq8oc0ex7, ret 2.8986244201660156, answer /gpt-mission-planner/app/gpt_outputs/tmp5hq9c6ew, ret 3.1775405406951904, answer /gpt-mission-planner/app/gpt_outputs/tmpomcuyjtw, ret 1.7083029747009277, answer /gpt-mission-planner/app/gpt_outputs/tmp3id8f7o3, succ False
input 4, model llama3.2:3b, multimodal False, temp 1.0, question_time 3.9571850299835205, answer /gpt-mission-planner/app/gpt_outputs/tmpz94ko74k, ret 3.4970037937164307, answer /gpt-mission-planner/app/gpt_outputs/tmpgtmjf12_, ret 4.528822660446167, answer /gpt-mission-planner/app/gpt_outputs/tmptxk1txsz, ret 4.715184926986694, answer /gpt-mission-planner/app/gpt_outputs/tmpcjiiyd_m, ret 5.746782064437866, answer /gpt-mission-planner/app/gpt_outputs/tmpncoulg1h, ret 5.5176966190338135, answer /gpt-mission-planner/app/gpt_outputs/tmpytvgc2v3, ret 5.05357027053833, answer /gpt-mission-planner/app/gpt_outputs/tmpl1h_0s70, ret 2.757197856903076, answer /gpt-mission-planner/app/gpt_outputs/tmpo5y_901c, ret 3.5802109241485596, answer /gpt-mission-planner/app/gpt_outputs/tmphudz414t, ret 3.1096150875091553, answer /gpt-mission-planner/app/gpt_outputs/tmp7al3vttw, ret 3.5311546325683594, answer /gpt-mission-planner/app/gpt_outputs/tmps8__xxsh, succ False
input 5, model llama3.2:3b, multimodal False, temp 1.0, question_time 4.864526987075806, answer /gpt-mission-planner/app/gpt_outputs/tmpn02six2n, ret 6.391369342803955, answer /gpt-mission-planner/app/gpt_outputs/tmpif8jhvdk, ret 6.25445556640625, answer /gpt-mission-planner/app/gpt_outputs/tmp_2h1l5gu, ret 6.1349098682403564, answer /gpt-mission-planner/app/gpt_outputs/tmpg2jkvrxk, ret 6.430892467498779, answer /gpt-mission-planner/app/gpt_outputs/tmpapu1_vnd, ret 6.270190715789795, answer /gpt-mission-planner/app/gpt_outputs/tmpcjfhenad, ret 6.263204574584961, answer /gpt-mission-planner/app/gpt_outputs/tmp2k4gzsu7, ret 3.4377670288085938, answer /gpt-mission-planner/app/gpt_outputs/tmpwadx36qw, ret 5.008096933364868, answer /gpt-mission-planner/app/gpt_outputs/tmpp0x9vksb, ret 5.010717153549194, answer /gpt-mission-planner/app/gpt_outputs/tmpo7lwx1mf, ret 4.68113899230957, answer /gpt-mission-planner/app/gpt_outputs/tmpl3mer367, succ False
input 6, model llama3.2:3b, multimodal False, temp 1.0, question_time 6.165629863739014, answer /gpt-mission-planner/app/gpt_outputs/tmp2aej58oe, ret 4.315072059631348, answer /gpt-mission-planner/app/gpt_outputs/tmp_j3aybd7, ret 3.3140342235565186, answer /gpt-mission-planner/app/gpt_outputs/tmpnulxxahw, ret 3.322664260864258, answer /gpt-mission-planner/app/gpt_outputs/tmp7xrt_pur, ret 2.468942642211914, answer /gpt-mission-planner/app/gpt_outputs/tmpe7m9vfgl, ret 2.8051202297210693, answer /gpt-mission-planner/app/gpt_outputs/tmpeky1gc4l, ret 2.0126166343688965, answer /gpt-mission-planner/app/gpt_outputs/tmp4bcolgv6, ret 4.286653995513916, answer /gpt-mission-planner/app/gpt_outputs/tmpssouuq26, ret 5.2223522663116455, answer /gpt-mission-planner/app/gpt_outputs/tmpahactcaq, ret 3.1942198276519775, answer /gpt-mission-planner/app/gpt_outputs/tmppku3k40s, ret 3.241767168045044, answer /gpt-mission-planner/app/gpt_outputs/tmpy2mm_c08, succ False
input 7, model llama3.2:3b, multimodal False, temp 1.0, question_time 5.100570917129517, answer /gpt-mission-planner/app/gpt_outputs/tmpu17xx8b6, ret 4.474100589752197, answer /gpt-mission-planner/app/gpt_outputs/tmphes1o4wc, ret 3.9189798831939697, answer /gpt-mission-planner/app/gpt_outputs/tmpksu74mkk, ret 4.542144536972046, answer /gpt-mission-planner/app/gpt_outputs/tmp4fhmhw70, ret 4.760355234146118, answer /gpt-mission-planner/app/gpt_outputs/tmp_2j3d2bp, ret 6.4802210330963135, answer /gpt-mission-planner/app/gpt_outputs/tmpnbw4it3r, ret 4.321707487106323, answer /gpt-mission-planner/app/gpt_outputs/tmpabp78cgr, ret 6.522221803665161, answer /gpt-mission-planner/app/gpt_outputs/tmpxk8dsw53, ret 3.671926498413086, answer /gpt-mission-planner/app/gpt_outputs/tmpzo1sktfk, ret 3.7497081756591797, answer /gpt-mission-planner/app/gpt_outputs/tmpbgjucmp5, ret 3.719318151473999, answer /gpt-mission-planner/app/gpt_outputs/tmpsayw0xgt, succ False
input 8, model llama3.2:3b, multimodal False, temp 1.0, question_time 10.051553010940552, answer /gpt-mission-planner/app/gpt_outputs/tmpi3g9_j4e, ret 3.3390538692474365, answer /gpt-mission-planner/app/gpt_outputs/tmpxmr_b7lr, ret 1.6256051063537598, answer /gpt-mission-planner/app/gpt_outputs/tmpsu0mmx4z, ret 1.2601871490478516, answer /gpt-mission-planner/app/gpt_outputs/tmpu0nb_h3u, ret 1.557408332824707, answer /gpt-mission-planner/app/gpt_outputs/tmpfuavg78s, ret 1.384749174118042, answer /gpt-mission-planner/app/gpt_outputs/tmpc8w_acaw, ret 1.6213507652282715, answer /gpt-mission-planner/app/gpt_outputs/tmpyoxcjje3, ret 2.4857232570648193, answer /gpt-mission-planner/app/gpt_outputs/tmppe5gp05i, ret 2.074888229370117, answer /gpt-mission-planner/app/gpt_outputs/tmpj3hh8le7, ret 2.531008720397949, answer /gpt-mission-planner/app/gpt_outputs/tmprffz15ni, ret 2.699249029159546, answer /gpt-mission-planner/app/gpt_outputs/tmpdy9_e813, succ False
input 9, model llama3.2:3b, multimodal False, temp 1.0, question_time 4.994424819946289, answer /gpt-mission-planner/app/gpt_outputs/tmpv72it_97, ret 5.454222917556763, answer /gpt-mission-planner/app/gpt_outputs/tmp7qqlqjs7, ret 4.018197536468506, answer /gpt-mission-planner/app/gpt_outputs/tmphinh2_xv, ret 4.626490592956543, answer /gpt-mission-planner/app/gpt_outputs/tmpyy_5wxhq, ret 4.530240058898926, answer /gpt-mission-planner/app/gpt_outputs/tmpxjdeqwca, ret 2.419842004776001, answer /gpt-mission-planner/app/gpt_outputs/tmpfo5rerh4, ret 2.2393958568573, answer /gpt-mission-planner/app/gpt_outputs/tmpa2n74paj, ret 2.567648410797119, answer /gpt-mission-planner/app/gpt_outputs/tmpn20alyme, ret 2.2281157970428467, answer /gpt-mission-planner/app/gpt_outputs/tmplezzp8b2, ret 2.434438705444336, answer /gpt-mission-planner/app/gpt_outputs/tmpm440tvls, ret 3.3626229763031006, answer /gpt-mission-planner/app/gpt_outputs/tmp9fz_8_3w, succ False
input 10, model llama3.2:3b, multimodal False, temp 1.0, question_time 4.127784729003906, answer /gpt-mission-planner/app/gpt_outputs/tmpumnqzmdx, ret 5.422350883483887, answer /gpt-mission-planner/app/gpt_outputs/tmpx4op41pp, ret 5.999051809310913, answer /gpt-mission-planner/app/gpt_outputs/tmptl1jwywc, ret 8.230038404464722, answer /gpt-mission-planner/app/gpt_outputs/tmp871ykrui, ret 9.183054208755493, answer /gpt-mission-planner/app/gpt_outputs/tmpx_4mxa9q, ret 5.490819215774536, answer /gpt-mission-planner/app/gpt_outputs/tmpwmq7n4qs, ret 4.308435440063477, answer /gpt-mission-planner/app/gpt_outputs/tmpi4b0lbbu, ret 4.311287879943848, answer /gpt-mission-planner/app/gpt_outputs/tmp896gibe4, ret 4.472250938415527, answer /gpt-mission-planner/app/gpt_outputs/tmp29fro0dh, ret 4.346565246582031, answer /gpt-mission-planner/app/gpt_outputs/tmp_2xty4u2, ret 4.276382207870483, answer /gpt-mission-planner/app/gpt_outputs/tmp9s1nstzd, succ False
input 0, model mistral, multimodal False, temp 0, question_time 0.0008757114410400391, answer /gpt-mission-planner/app/gpt_outputs/tmp6c_u3h8f, ret 0.0009853839874267578, answer /gpt-mission-planner/app/gpt_outputs/tmpm69aak8b, ret 0.0008776187896728516, answer /gpt-mission-planner/app/gpt_outputs/tmp_d438r10, ret 0.0007152557373046875, answer /gpt-mission-planner/app/gpt_outputs/tmpxv_raon8, ret 0.0008847713470458984, answer /gpt-mission-planner/app/gpt_outputs/tmpg8c5fc2c, ret 0.0007700920104980469, answer /gpt-mission-planner/app/gpt_outputs/tmpfq_wv4c0, ret 0.0006861686706542969, answer /gpt-mission-planner/app/gpt_outputs/tmpnxsllwho, ret 0.0008487701416015625, answer /gpt-mission-planner/app/gpt_outputs/tmpnl3u5qe9, ret 0.0007455348968505859, answer /gpt-mission-planner/app/gpt_outputs/tmpkckd38l4, ret 0.0006535053253173828, answer /gpt-mission-planner/app/gpt_outputs/tmpqkqgk326, ret 0.0008606910705566406, answer /gpt-mission-planner/app/gpt_outputs/tmp9vmzwf9s, succ False
input 1, model mistral, multimodal False, temp 0, question_time 0.0006735324859619141, answer /gpt-mission-planner/app/gpt_outputs/tmp4gwr92sc, ret 0.0006482601165771484, answer /gpt-mission-planner/app/gpt_outputs/tmpyk6vw5q9, ret 0.0008549690246582031, answer /gpt-mission-planner/app/gpt_outputs/tmpnrn813qk, ret 0.0006916522979736328, answer /gpt-mission-planner/app/gpt_outputs/tmpxrgs6bob, ret 0.0006146430969238281, answer /gpt-mission-planner/app/gpt_outputs/tmp67rlfqj7, ret 0.0008492469787597656, answer /gpt-mission-planner/app/gpt_outputs/tmpm_se_6ji, ret 0.0007038116455078125, answer /gpt-mission-planner/app/gpt_outputs/tmp4qpaw471, ret 0.0008594989776611328, answer /gpt-mission-planner/app/gpt_outputs/tmpage7yrcp, ret 0.0006999969482421875, answer /gpt-mission-planner/app/gpt_outputs/tmpwozoud2h, ret 0.0005693435668945312, answer /gpt-mission-planner/app/gpt_outputs/tmpvwt19kys, ret 0.0008451938629150391, answer /gpt-mission-planner/app/gpt_outputs/tmp3ve4pbx2, succ False
input 2, model mistral, multimodal False, temp 0, question_time 0.0006086826324462891, answer /gpt-mission-planner/app/gpt_outputs/tmpzta1dfid, ret 0.0005815029144287109, answer /gpt-mission-planner/app/gpt_outputs/tmpyigsk0ep, ret 0.0008642673492431641, answer /gpt-mission-planner/app/gpt_outputs/tmp36bv8r9k, ret 0.0006926059722900391, answer /gpt-mission-planner/app/gpt_outputs/tmp4wsc5imx, ret 0.0006783008575439453, answer /gpt-mission-planner/app/gpt_outputs/tmpqler8d0e, ret 0.00087738037109375, answer /gpt-mission-planner/app/gpt_outputs/tmpyp3s8p2o, ret 0.0007183551788330078, answer /gpt-mission-planner/app/gpt_outputs/tmp6t435163, ret 0.0007174015045166016, answer /gpt-mission-planner/app/gpt_outputs/tmp9v97rjbu, ret 0.0008893013000488281, answer /gpt-mission-planner/app/gpt_outputs/tmpmn3vfv3z, ret 0.0007634162902832031, answer /gpt-mission-planner/app/gpt_outputs/tmpdo_djyma, ret 0.0008656978607177734, answer /gpt-mission-planner/app/gpt_outputs/tmp6nlgwncn, succ False
input 3, model mistral, multimodal False, temp 0, question_time 0.0006701946258544922, answer /gpt-mission-planner/app/gpt_outputs/tmpi4reru1m, ret 0.0006256103515625, answer /gpt-mission-planner/app/gpt_outputs/tmp0zhh3wrc, ret 0.0006377696990966797, answer /gpt-mission-planner/app/gpt_outputs/tmp013r48da, ret 0.0008695125579833984, answer /gpt-mission-planner/app/gpt_outputs/tmpjyidhsa7, ret 0.0005724430084228516, answer /gpt-mission-planner/app/gpt_outputs/tmpvo7vpi8f, ret 0.0005693435668945312, answer /gpt-mission-planner/app/gpt_outputs/tmpf7wrw1n5, ret 0.0008480548858642578, answer /gpt-mission-planner/app/gpt_outputs/tmpls5tkbxf, ret 0.0006837844848632812, answer /gpt-mission-planner/app/gpt_outputs/tmp8ff_sfhm, ret 0.0005636215209960938, answer /gpt-mission-planner/app/gpt_outputs/tmp6qj0h3om, ret 0.0008356571197509766, answer /gpt-mission-planner/app/gpt_outputs/tmpqshce6fs, ret 0.0006816387176513672, answer /gpt-mission-planner/app/gpt_outputs/tmpu6awgptp, succ False
input 4, model mistral, multimodal False, temp 0, question_time 0.0008320808410644531, answer /gpt-mission-planner/app/gpt_outputs/tmps2mpkve3, ret 0.0006821155548095703, answer /gpt-mission-planner/app/gpt_outputs/tmpjps83q83, ret 0.0005800724029541016, answer /gpt-mission-planner/app/gpt_outputs/tmp0qpvmqyr, ret 0.0005972385406494141, answer /gpt-mission-planner/app/gpt_outputs/tmp0akseczo, ret 0.0008544921875, answer /gpt-mission-planner/app/gpt_outputs/tmpnkri_ra3, ret 0.0006842613220214844, answer /gpt-mission-planner/app/gpt_outputs/tmpp4_3rslz, ret 0.0006721019744873047, answer /gpt-mission-planner/app/gpt_outputs/tmpqjq4ogdo, ret 0.0008361339569091797, answer /gpt-mission-planner/app/gpt_outputs/tmp0kmv59v4, ret 0.0006866455078125, answer /gpt-mission-planner/app/gpt_outputs/tmpub0ak7k5, ret 0.0006172657012939453, answer /gpt-mission-planner/app/gpt_outputs/tmps2f0757y, ret 0.0006124973297119141, answer /gpt-mission-planner/app/gpt_outputs/tmpp64a658n, succ False
input 5, model mistral, multimodal False, temp 0, question_time 0.0005533695220947266, answer /gpt-mission-planner/app/gpt_outputs/tmp8sosjj9y, ret 0.0006151199340820312, answer /gpt-mission-planner/app/gpt_outputs/tmp9eh5a77r, ret 0.0006425380706787109, answer /gpt-mission-planner/app/gpt_outputs/tmp1twmaagv, ret 0.0005815029144287109, answer /gpt-mission-planner/app/gpt_outputs/tmp50nnpzfk, ret 0.0005590915679931641, answer /gpt-mission-planner/app/gpt_outputs/tmpwykgn1fo, ret 0.0005774497985839844, answer /gpt-mission-planner/app/gpt_outputs/tmpoj6n_gnl, ret 0.0005588531494140625, answer /gpt-mission-planner/app/gpt_outputs/tmp0lp3_fvk, ret 0.0005791187286376953, answer /gpt-mission-planner/app/gpt_outputs/tmpsm_kb38x, ret 0.0005578994750976562, answer /gpt-mission-planner/app/gpt_outputs/tmp8fmk17dc, ret 0.0005671977996826172, answer /gpt-mission-planner/app/gpt_outputs/tmpt4z6gnew, ret 0.0005986690521240234, answer /gpt-mission-planner/app/gpt_outputs/tmplwnmcfyj, succ False
input 6, model mistral, multimodal False, temp 0, question_time 0.0011305809020996094, answer /gpt-mission-planner/app/gpt_outputs/tmp7j42hsqn, ret 0.0006108283996582031, answer /gpt-mission-planner/app/gpt_outputs/tmp3hlwaurj, ret 0.0008645057678222656, answer /gpt-mission-planner/app/gpt_outputs/tmp3v98rtnn, ret 0.0006983280181884766, answer /gpt-mission-planner/app/gpt_outputs/tmp1ha8yjjw, ret 0.0009016990661621094, answer /gpt-mission-planner/app/gpt_outputs/tmpl4mjyn3v, ret 0.0007126331329345703, answer /gpt-mission-planner/app/gpt_outputs/tmpbzbtysr7, ret 0.0007867813110351562, answer /gpt-mission-planner/app/gpt_outputs/tmp66dticur, ret 0.0006322860717773438, answer /gpt-mission-planner/app/gpt_outputs/tmpyclx2kb4, ret 0.0007870197296142578, answer /gpt-mission-planner/app/gpt_outputs/tmpk079uhnf, ret 0.0006802082061767578, answer /gpt-mission-planner/app/gpt_outputs/tmpt8qpihln, ret 0.000804901123046875, answer /gpt-mission-planner/app/gpt_outputs/tmpeshi7k_r, succ False
input 7, model mistral, multimodal False, temp 0, question_time 0.0006489753723144531, answer /gpt-mission-planner/app/gpt_outputs/tmpmminkq85, ret 0.0008246898651123047, answer /gpt-mission-planner/app/gpt_outputs/tmpu4okt5i4, ret 0.0007545948028564453, answer /gpt-mission-planner/app/gpt_outputs/tmpz95tn084, ret 0.0008289813995361328, answer /gpt-mission-planner/app/gpt_outputs/tmpv3in09fn, ret 0.0009126663208007812, answer /gpt-mission-planner/app/gpt_outputs/tmp8hh1qjcr, ret 0.0006947517395019531, answer /gpt-mission-planner/app/gpt_outputs/tmpxcewgdpi, ret 0.000766754150390625, answer /gpt-mission-planner/app/gpt_outputs/tmpbj3_arfp, ret 0.0007302761077880859, answer /gpt-mission-planner/app/gpt_outputs/tmpgxmgt3hm, ret 0.0007848739624023438, answer /gpt-mission-planner/app/gpt_outputs/tmpdmngfofr, ret 0.0006666183471679688, answer /gpt-mission-planner/app/gpt_outputs/tmpneisjz4i, ret 0.0008227825164794922, answer /gpt-mission-planner/app/gpt_outputs/tmp97h8e1xk, succ False
input 8, model mistral, multimodal False, temp 0, question_time 0.0009148120880126953, answer /gpt-mission-planner/app/gpt_outputs/tmpu9m45iqe, ret 0.00070953369140625, answer /gpt-mission-planner/app/gpt_outputs/tmpvzi4ukmd, ret 0.0008304119110107422, answer /gpt-mission-planner/app/gpt_outputs/tmpam5zwnpk, ret 0.0006833076477050781, answer /gpt-mission-planner/app/gpt_outputs/tmpp8vpf77v, ret 0.0007979869842529297, answer /gpt-mission-planner/app/gpt_outputs/tmpudepeege, ret 0.0006759166717529297, answer /gpt-mission-planner/app/gpt_outputs/tmpzpandvbx, ret 0.0007946491241455078, answer /gpt-mission-planner/app/gpt_outputs/tmpreg3z9o5, ret 0.0009200572967529297, answer /gpt-mission-planner/app/gpt_outputs/tmpl1degjdb, ret 0.0005819797515869141, answer /gpt-mission-planner/app/gpt_outputs/tmp3b5ssbr6, ret 0.0008039474487304688, answer /gpt-mission-planner/app/gpt_outputs/tmpbkd6ntqn, ret 0.0006659030914306641, answer /gpt-mission-planner/app/gpt_outputs/tmputs1co77, succ False
input 9, model mistral, multimodal False, temp 0, question_time 0.0007853507995605469, answer /gpt-mission-planner/app/gpt_outputs/tmpmxoqylf2, ret 0.0007221698760986328, answer /gpt-mission-planner/app/gpt_outputs/tmpnwvp2kvv, ret 0.0006530284881591797, answer /gpt-mission-planner/app/gpt_outputs/tmpdvrbcjm2, ret 0.0007996559143066406, answer /gpt-mission-planner/app/gpt_outputs/tmppj27d7mh, ret 0.00060272216796875, answer /gpt-mission-planner/app/gpt_outputs/tmpt1xdp0rj, ret 0.000621795654296875, answer /gpt-mission-planner/app/gpt_outputs/tmpc6y6igmg, ret 0.0005707740783691406, answer /gpt-mission-planner/app/gpt_outputs/tmpytt6hel1, ret 0.0005586147308349609, answer /gpt-mission-planner/app/gpt_outputs/tmp62npvsh4, ret 0.0005567073822021484, answer /gpt-mission-planner/app/gpt_outputs/tmp0jlvy51e, ret 0.0008647441864013672, answer /gpt-mission-planner/app/gpt_outputs/tmp5t079v79, ret 0.0006802082061767578, answer /gpt-mission-planner/app/gpt_outputs/tmpruz4fr88, succ False
input 10, model mistral, multimodal False, temp 0, question_time 0.0005509853363037109, answer /gpt-mission-planner/app/gpt_outputs/tmpw5_46y6k, ret 0.0008614063262939453, answer /gpt-mission-planner/app/gpt_outputs/tmphnia38xe, ret 0.0006878376007080078, answer /gpt-mission-planner/app/gpt_outputs/tmp1q_25mwh, ret 0.0005679130554199219, answer /gpt-mission-planner/app/gpt_outputs/tmp69nlzecs, ret 0.0005552768707275391, answer /gpt-mission-planner/app/gpt_outputs/tmpv7t1_wkg, ret 0.0005381107330322266, answer /gpt-mission-planner/app/gpt_outputs/tmpsfq5gzpq, ret 0.0005452632904052734, answer /gpt-mission-planner/app/gpt_outputs/tmpyh6r08j3, ret 0.0005645751953125, answer /gpt-mission-planner/app/gpt_outputs/tmp9u641t0h, ret 0.0008916854858398438, answer /gpt-mission-planner/app/gpt_outputs/tmpv341qu74, ret 0.0005714893341064453, answer /gpt-mission-planner/app/gpt_outputs/tmpot18w345, ret 0.0005590915679931641, answer /gpt-mission-planner/app/gpt_outputs/tmp2lpnopdx, succ False
input 0, model mistral, multimodal False, temp 0.25, question_time 8.722899436950684, answer /gpt-mission-planner/app/gpt_outputs/tmpqs4dm35n, ret 6.717604398727417, answer /gpt-mission-planner/app/gpt_outputs/tmp1eiola5g, ret 9.537360906600952, answer /gpt-mission-planner/app/gpt_outputs/tmpnpu1nehu, ret 9.77859616279602, answer /gpt-mission-planner/app/gpt_outputs/tmp7rnpn13n, ret 10.041868209838867, answer /gpt-mission-planner/app/gpt_outputs/tmpbigo4uxq, ret 10.056303262710571, answer /gpt-mission-planner/app/gpt_outputs/tmpv_65g73p, ret 8.878237009048462, answer /gpt-mission-planner/app/gpt_outputs/tmpm__zpqh4, ret 8.861732006072998, answer /gpt-mission-planner/app/gpt_outputs/tmpu3sd71x1, ret 8.851108312606812, answer /gpt-mission-planner/app/gpt_outputs/tmpif0cryls, ret 8.86579966545105, answer /gpt-mission-planner/app/gpt_outputs/tmpfv8ywc1b, ret 8.857704877853394, answer /gpt-mission-planner/app/gpt_outputs/tmpp0ktkr51, succ False
input 1, model mistral, multimodal False, temp 0.25, question_time 12.079683780670166, answer /gpt-mission-planner/app/gpt_outputs/tmpkdi3batp, ret 9.82645034790039, answer /gpt-mission-planner/app/gpt_outputs/tmpezrvj74w, ret 12.96840763092041, answer /gpt-mission-planner/app/gpt_outputs/tmpsusjzi44, ret 12.309881210327148, answer /gpt-mission-planner/app/gpt_outputs/tmptzzyq1wz, ret 12.145609140396118, answer /gpt-mission-planner/app/gpt_outputs/tmp28wu93on, ret 12.229371309280396, answer /gpt-mission-planner/app/gpt_outputs/tmpkolw2hw2, ret 12.116892337799072, answer /gpt-mission-planner/app/gpt_outputs/tmp427giut3, ret 12.049736499786377, answer /gpt-mission-planner/app/gpt_outputs/tmpa1uoab_5, ret 12.61234998703003, answer /gpt-mission-planner/app/gpt_outputs/tmpqz9lpc7q, ret 12.67673921585083, answer /gpt-mission-planner/app/gpt_outputs/tmp398_se62, ret 12.604525089263916, answer /gpt-mission-planner/app/gpt_outputs/tmpwzqbbb54, succ False
input 2, model mistral, multimodal False, temp 0.25, question_time 6.312992572784424, answer /gpt-mission-planner/app/gpt_outputs/tmp1wtil5v8, ret 6.2254791259765625, answer /gpt-mission-planner/app/gpt_outputs/tmp9bdstfb4, ret 5.88983154296875, answer /gpt-mission-planner/app/gpt_outputs/tmpl1k00zvy, ret 5.953168153762817, answer /gpt-mission-planner/app/gpt_outputs/tmprx0apvp7, ret 6.23942756652832, answer /gpt-mission-planner/app/gpt_outputs/tmpgxuf_htr, ret 6.219516038894653, answer /gpt-mission-planner/app/gpt_outputs/tmpj_l9ccqv, ret 6.223225355148315, answer /gpt-mission-planner/app/gpt_outputs/tmpj9jnyq_r, ret 6.227942228317261, answer /gpt-mission-planner/app/gpt_outputs/tmp39iu9w_0, ret 6.227283477783203, answer /gpt-mission-planner/app/gpt_outputs/tmpp79k_zqy, ret 6.219385147094727, answer /gpt-mission-planner/app/gpt_outputs/tmpipd9_m9j, ret 6.217857599258423, answer /gpt-mission-planner/app/gpt_outputs/tmpm81lszan, succ False
input 3, model mistral, multimodal False, temp 0.25, question_time 8.79324722290039, answer /gpt-mission-planner/app/gpt_outputs/tmpinw1mig5, ret 6.76642918586731, answer /gpt-mission-planner/app/gpt_outputs/tmp2dq2bely, ret 4.919980764389038, answer /gpt-mission-planner/app/gpt_outputs/tmpoz78oo24, ret 7.083332061767578, answer /gpt-mission-planner/app/gpt_outputs/tmpxonpiyag, ret 7.057925224304199, answer /gpt-mission-planner/app/gpt_outputs/tmp2g6ul2bd, ret 7.052840709686279, answer /gpt-mission-planner/app/gpt_outputs/tmp2rh2kyf1, ret 10.325625658035278, answer /gpt-mission-planner/app/gpt_outputs/tmpi74bf8up, ret 9.660924196243286, answer /gpt-mission-planner/app/gpt_outputs/tmpnizbf2t1, ret 9.710338592529297, answer /gpt-mission-planner/app/gpt_outputs/tmpavszfvqp, ret 9.691100835800171, answer /gpt-mission-planner/app/gpt_outputs/tmp85olf89m, ret 9.679749727249146, answer /gpt-mission-planner/app/gpt_outputs/tmpfr1ev1h2, succ False
input 4, model mistral, multimodal False, temp 0.25, question_time 6.948326587677002, answer /gpt-mission-planner/app/gpt_outputs/tmpkjv0fqsv, ret 6.894349813461304, answer /gpt-mission-planner/app/gpt_outputs/tmpzowlrd7o, ret 7.207171678543091, answer /gpt-mission-planner/app/gpt_outputs/tmpy2h61_7h, ret 7.360636949539185, answer /gpt-mission-planner/app/gpt_outputs/tmpx8gey16q, ret 7.371865749359131, answer /gpt-mission-planner/app/gpt_outputs/tmpd6cbhru_, ret 7.370589971542358, answer /gpt-mission-planner/app/gpt_outputs/tmp_s6ma88k, ret 7.37151026725769, answer /gpt-mission-planner/app/gpt_outputs/tmpdylx989a, ret 7.370320081710815, answer /gpt-mission-planner/app/gpt_outputs/tmp_12p2gfx, ret 7.372363805770874, answer /gpt-mission-planner/app/gpt_outputs/tmp9i071t0u, ret 7.369056701660156, answer /gpt-mission-planner/app/gpt_outputs/tmpl64dtds7, ret 7.3708415031433105, answer /gpt-mission-planner/app/gpt_outputs/tmpy25i9cpq, succ False
